"Year","Month","Nb_of_distinct_IPs","Nb_of_downloads","package"
2025,"all",1891,3504,"CytoGLMM"
2025,"Jan",146,284,"scifer"
2025,"Feb",134,215,"scifer"
2025,"Mar",129,261,"scifer"
2025,"Apr",154,353,"scifer"
2025,"May",173,394,"scifer"
2025,"Jun",191,306,"scifer"
2025,"Jul",216,338,"scifer"
2025,"Aug",156,275,"scifer"
2025,"Sep",149,260,"scifer"
2025,"Oct",120,240,"scifer"
2025,"Nov",122,199,"scifer"
2025,"Dec",332,414,"scifer"
2025,"all",1828,3539,"scifer"
2025,"Jan",167,323,"cytoKernel"
2025,"Feb",136,228,"cytoKernel"
2025,"Mar",146,253,"cytoKernel"
2025,"Apr",144,305,"cytoKernel"
2025,"May",185,389,"cytoKernel"
2025,"Jun",173,294,"cytoKernel"
2025,"Jul",241,365,"cytoKernel"
2025,"Aug",152,263,"cytoKernel"
2025,"Sep",154,255,"cytoKernel"
2025,"Oct",120,221,"cytoKernel"
2025,"Nov",159,239,"cytoKernel"
2025,"Dec",239,305,"cytoKernel"
2025,"all",1864,3440,"cytoKernel"
2025,"Jan",138,252,"CytoPipeline"
2025,"Feb",134,230,"CytoPipeline"
2025,"Mar",147,273,"CytoPipeline"
2025,"Apr",175,342,"CytoPipeline"
2025,"May",214,439,"CytoPipeline"
2025,"Jun",161,273,"CytoPipeline"
2025,"Jul",190,269,"CytoPipeline"
2025,"Aug",152,260,"CytoPipeline"
2025,"Sep",180,280,"CytoPipeline"
2025,"Oct",145,253,"CytoPipeline"
2025,"Nov",163,253,"CytoPipeline"
2025,"Dec",219,305,"CytoPipeline"
2025,"all",1846,3429,"CytoPipeline"
2025,"Jan",163,304,"censcyt"
2025,"Feb",136,226,"censcyt"
2025,"Mar",132,230,"censcyt"
2025,"Apr",121,298,"censcyt"
2025,"May",158,368,"censcyt"
2025,"Jun",116,222,"censcyt"
2025,"Jul",193,319,"censcyt"
2025,"Aug",165,273,"censcyt"
2025,"Sep",146,252,"censcyt"
2025,"Oct",117,222,"censcyt"
2025,"Nov",178,314,"censcyt"
2025,"Dec",263,382,"censcyt"
2025,"all",1771,3410,"censcyt"
2025,"Jan",177,304,"flowCyBar"
2025,"Feb",162,315,"flowCyBar"
2025,"Mar",122,245,"flowCyBar"
2025,"Apr",128,314,"flowCyBar"
2025,"May",137,380,"flowCyBar"
2025,"Jun",105,206,"flowCyBar"
2025,"Jul",256,375,"flowCyBar"
2025,"Aug",178,318,"flowCyBar"
2025,"Sep",161,261,"flowCyBar"
2025,"Oct",126,225,"flowCyBar"
2025,"Nov",168,267,"flowCyBar"
2025,"Dec",195,266,"flowCyBar"
2025,"all",1765,3476,"flowCyBar"
2025,"Jan",96,172,"reconsi"
2025,"Feb",147,254,"reconsi"
2025,"Mar",139,248,"reconsi"
2025,"Apr",121,286,"reconsi"
2025,"May",193,412,"reconsi"
2025,"Jun",150,244,"reconsi"
2025,"Jul",219,355,"reconsi"
2025,"Aug",168,286,"reconsi"
2025,"Sep",154,259,"reconsi"
2025,"Oct",132,240,"reconsi"
2025,"Nov",123,211,"reconsi"
2025,"Dec",190,260,"reconsi"
2025,"all",1705,3227,"reconsi"
2025,"Jan",151,266,"MACSQuantifyR"
2025,"Feb",120,221,"MACSQuantifyR"
2025,"Mar",111,223,"MACSQuantifyR"
2025,"Apr",169,331,"MACSQuantifyR"
2025,"May",193,387,"MACSQuantifyR"
2025,"Jun",164,281,"MACSQuantifyR"
2025,"Jul",210,319,"MACSQuantifyR"
2025,"Aug",170,295,"MACSQuantifyR"
2025,"Sep",146,246,"MACSQuantifyR"
2025,"Oct",129,243,"MACSQuantifyR"
2025,"Nov",128,209,"MACSQuantifyR"
2025,"Dec",125,190,"MACSQuantifyR"
2025,"all",1625,3211,"MACSQuantifyR"
2025,"Jan",141,222,"CytoMDS"
2025,"Feb",116,196,"CytoMDS"
2025,"Mar",107,194,"CytoMDS"
2025,"Apr",121,266,"CytoMDS"
2025,"May",152,347,"CytoMDS"
2025,"Jun",126,222,"CytoMDS"
2025,"Jul",180,263,"CytoMDS"
2025,"Aug",146,240,"CytoMDS"
2025,"Sep",126,208,"CytoMDS"
2025,"Oct",124,225,"CytoMDS"
2025,"Nov",112,188,"CytoMDS"
2025,"Dec",165,327,"CytoMDS"
2025,"all",1507,2898,"CytoMDS"
2025,"Jan",135,212,"CytoPipelineGUI"
2025,"Feb",112,188,"CytoPipelineGUI"
2025,"Mar",118,201,"CytoPipelineGUI"
2025,"Apr",132,278,"CytoPipelineGUI"
2025,"May",149,359,"CytoPipelineGUI"
2025,"Jun",131,225,"CytoPipelineGUI"
2025,"Jul",154,239,"CytoPipelineGUI"
2025,"Aug",127,228,"CytoPipelineGUI"
2025,"Sep",141,223,"CytoPipelineGUI"
2025,"Oct",122,225,"CytoPipelineGUI"
2025,"Nov",123,209,"CytoPipelineGUI"
2025,"Dec",142,207,"CytoPipelineGUI"
2025,"all",1471,2794,"CytoPipelineGUI"
2025,"Jan",126,204,"MAPFX"
2025,"Feb",114,188,"MAPFX"
2025,"Mar",112,199,"MAPFX"
2025,"Apr",123,247,"MAPFX"
2025,"May",136,293,"MAPFX"
2025,"Jun",129,223,"MAPFX"
2025,"Jul",172,255,"MAPFX"
2025,"Aug",182,273,"MAPFX"
2025,"Sep",117,206,"MAPFX"
2025,"Oct",116,204,"MAPFX"
2025,"Nov",106,184,"MAPFX"
2025,"Dec",157,234,"MAPFX"
2025,"all",1475,2710,"MAPFX"
2025,"Jan",145,229,"spillR"
2025,"Feb",111,184,"spillR"
2025,"Mar",103,194,"spillR"
2025,"Apr",118,236,"spillR"
2025,"May",156,316,"spillR"
2025,"Jun",138,248,"spillR"
2025,"Jul",126,221,"spillR"
2025,"Aug",147,245,"spillR"
2025,"Sep",123,218,"spillR"
2025,"Oct",122,209,"spillR"
2025,"Nov",97,176,"spillR"
2025,"Dec",153,213,"spillR"
2025,"all",1449,2689,"spillR"
2025,"Jan",129,207,"tidyFlowCore"
2025,"Feb",111,189,"tidyFlowCore"
2025,"Mar",111,196,"tidyFlowCore"
2025,"Apr",117,255,"tidyFlowCore"
2025,"May",115,306,"tidyFlowCore"
2025,"Jun",104,200,"tidyFlowCore"
2025,"Jul",139,228,"tidyFlowCore"
2025,"Aug",130,234,"tidyFlowCore"
2025,"Sep",124,224,"tidyFlowCore"
2025,"Oct",112,210,"tidyFlowCore"
2025,"Nov",110,190,"tidyFlowCore"
2025,"Dec",132,193,"tidyFlowCore"
2025,"all",1350,2632,"tidyFlowCore"
2025,"Jan",39,84,"CyTOFpower"
2025,"Feb",37,46,"CyTOFpower"
2025,"Mar",60,76,"CyTOFpower"
2025,"Apr",57,95,"CyTOFpower"
2025,"May",32,55,"CyTOFpower"
2025,"Jun",57,74,"CyTOFpower"
2025,"Jul",149,201,"CyTOFpower"
2025,"Aug",139,295,"CyTOFpower"
2025,"Sep",136,233,"CyTOFpower"
2025,"Oct",110,211,"CyTOFpower"
2025,"Nov",135,239,"CyTOFpower"
2025,"Dec",197,275,"CyTOFpower"
2025,"all",1085,1884,"CyTOFpower"
2025,"Jan",116,211,"tidytof"
2025,"Feb",103,173,"tidytof"
2025,"Mar",103,192,"tidytof"
2025,"Apr",112,248,"tidytof"
2025,"May",142,333,"tidytof"
2025,"Jun",150,261,"tidytof"
2025,"Jul",164,270,"tidytof"
2025,"Aug",137,237,"tidytof"
2025,"Sep",141,231,"tidytof"
2025,"Oct",61,91,"tidytof"
2025,"Nov",23,24,"tidytof"
2025,"Dec",33,34,"tidytof"
2025,"all",1198,2305,"tidytof"
2025,"Jan",0,0,"SuperCellCyto"
2025,"Feb",0,0,"SuperCellCyto"
2025,"Mar",0,0,"SuperCellCyto"
2025,"Apr",0,0,"SuperCellCyto"
2025,"May",0,0,"SuperCellCyto"
2025,"Jun",0,0,"SuperCellCyto"
2025,"Jul",0,0,"SuperCellCyto"
2025,"Aug",0,0,"SuperCellCyto"
2025,"Sep",0,0,"SuperCellCyto"
2025,"Oct",101,190,"SuperCellCyto"
2025,"Nov",115,195,"SuperCellCyto"
2025,"Dec",128,195,"SuperCellCyto"
2025,"all",336,580,"SuperCellCyto"
